Dia_Original,Hora_ET,Dia_ARG,Hora_ARG,Detalles
Jueves,15:00,Jueves,16:00,México v Sudáfrica – Grupo A - Estadio Ciudad de México
Jueves,22:00,Jueves,23:00,República de Corea v República Checa – Grupo A - Estadio Guadalajara
Viernes,15:00,Viernes,16:00,Canadá v Bosnia y Herzegovina – Grupo B - Estadio Toronto
Viernes,21:00,Viernes,22:00,Estados Unidos v Paraguay – Grupo D - Estadio Los Ángeles
Sábado,15:00,Sábado,16:00,Catar v Suiza – Grupo B - Estadio Bahía de San Francisco
Sábado,18:00,Sábado,19:00,Brasil v Marruecos – Grupo C - Estadio Nueva York Nueva Jersey
Sábado,21:00,Sábado,22:00,Haití v Escocia – Grupo C - Estadio Boston
Sábado,00:00,Sábado,01:00,Australia v Turquía – Grupo D - Estadio BC Place Vancouver
Domingo,13:00,Domingo,14:00,Alemania v Curazao – Grupo E - Estadio Houston
Domingo,16:00,Domingo,17:00,Países Bajos v Japón – Grupo F - Estadio Dallas
Domingo,19:00,Domingo,20:00,Costa de Marfil v Ecuador – Grupo E - Estadio Filadelfia
Domingo,22:00,Domingo,23:00,Suecia v Túnez – Grupo F - Estadio Monterrey
Lunes,12:00,Lunes,13:00,España v Cabo Verde – Grupo H - Estadio Atlanta
Lunes,15:00,Lunes,16:00,Bélgica v Egipto – Grupo G - Estadio Seattle
Lunes,18:00,Lunes,19:00,Arabia Saudí v Uruguay – Grupo H - Estadio Miami
Lunes,21:00,Lunes,22:00,RI de Irán v Nueva Zelanda – Grupo G - Estadio Los Ángeles
Martes,15:00,Martes,16:00,Francia v Senegal – Grupo I - Estadio Nueva York Nueva Jersey
Martes,18:00,Martes,19:00,Irak v Noruega – Grupo I - Estadio Boston
Martes,21:00,Martes,22:00,Argentina v Argelia – Grupo J - Estadio Kansas City
Martes,00:00,Martes,01:00,Austria v Jordania – Grupo J - Estadio Bahía de San Francisco
Miércoles,13:00,Miércoles,14:00,Portugal v RD Congo – Grupo K - Estadio Houston
Miércoles,16:00,Miércoles,17:00,Inglaterra v Croacia – Grupo L - Estadio Dallas
Miércoles,19:00,Miércoles,20:00,Ghana v Panamá – Grupo L - Estadio Toronto
Miércoles,22:00,Miércoles,23:00,Uzbekistán v Colombia – Grupo K - Estadio Ciudad de México
Jueves,12:00,Jueves,13:00,República Checa v Sudáfrica – Grupo A - Estadio Atlanta
Jueves,15:00,Jueves,16:00,Suiza v Bosnia y Herzegovina – Grupo B - Estadio Los Ángeles
Jueves,18:00,Jueves,19:00,Canadá v Catar – Grupo B - Estadio BC Place Vancouver
Jueves,21:00,Jueves,22:00,México v República de Corea – Grupo A - Estadio Guadalajara
Viernes,15:00,Viernes,16:00,Estados Unidos v Australia – Grupo D - Estadio Seattle
Viernes,18:00,Viernes,19:00,Escocia v Marruecos – Grupo C - Estadio Boston
Viernes,21:00,Viernes,22:00,Brasil v Haití – Grupo C - Estadio Filadelfia
Viernes,00:00,Viernes,01:00,Turquía v Paraguay – Grupo D - Estadio Bahía de San Francisco
Sábado,13:00,Sábado,14:00,Países Bajos v Suecia – Grupo F - Estadio Houston
Sábado,16:00,Sábado,17:00,Alemania v Costa de Marfil – Grupo E - Estadio Toronto
Sábado,22:00,Sábado,23:00,Ecuador v Curazao – Grupo E - Estadio Kansas City
Sábado,00:00,Sábado,01:00,Túnez v Japón – Grupo F - Estadio Monterrey
Domingo,12:00,Domingo,13:00,España v Arabia Saudí – Grupo H - Estadio Atlanta
Domingo,15:00,Domingo,16:00,Bélgica v Irán – Grupo G - Estadio Los Ángeles
Domingo,18:00,Domingo,19:00,Uruguay v Cabo Verde – Grupo H - Estadio Miami
Domingo,21:00,Domingo,22:00,Nueva Zelanda v Egipto – Grupo G - Estadio BC Place Vancouver
Lunes,13:00,Lunes,14:00,Argentina v Austria – Grupo J - Estadio Dallas
Lunes,17:00,Lunes,18:00,Francia v Irak – Grupo I - Estadio Filadelfia
Lunes,20:00,Lunes,21:00,Noruega v Senegal – Grupo I - Estadio Nueva York Nueva Jersey
Lunes,23:00,Martes,00:00,Jordania v Argelia – Grupo J - Estadio Bahía de San Francisco Bay
Martes,13:00,Martes,14:00,Portugal v Uzbekistán – Grupo K - Estadio Houston
Martes,16:00,Martes,17:00,Inglaterra v Ghana – Grupo L - Estadio Boston
Martes,19:00,Martes,20:00,Panamá v Croacia – Grupo L - Estadio Toronto
Martes,22:00,Martes,23:00,Colombia v RD Congo – Grupo K - Estadio Guadalajara
Miércoles,15:00,Miércoles,16:00,Suiza v Canadá – Grupo B - Estadio BC Place Vancouver
Miércoles,15:00,Miércoles,16:00,Bosnia y Herzegovina v Catar – Grupo B - Estadio Seattle
Miércoles,18:00,Miércoles,19:00,Escocia v Brasil – Grupo C - Estadio Miami
Miércoles,18:00,Miércoles,19:00,Marruecos v Haití – Grupo C - Estadio Atlanta
Miércoles,21:00,Miércoles,22:00,República Checa v México – Grupo A - Estadio Ciudad de México
Miércoles,21:00,Miércoles,22:00,Sudáfrica v República de Corea – Grupo A - Estadio Monterrey
Jueves,16:00,Jueves,17:00,Curazao v Costa de Marfil – Grupo E - Estadio Filadelfia
Jueves,16:00,Jueves,17:00,Ecuador v Alemania – Grupo E - Estadio Nueva York Nueva Jersey
Jueves,19:00,Jueves,20:00,Japón v Suecia – Grupo F - Estadio Dallas
Jueves,19:00,Jueves,20:00,Túnez v Países Bajos – Grupo F - Estadio Kansas City
Jueves,22:00,Jueves,23:00,Turquía v Estados Unidos – Grupo D - Estadio Los Ángeles
Jueves,22:00,Jueves,23:00,Paraguay v Australia – Grupo D - Estadio Bahía de San Francisco
Viernes,15:00,Viernes,16:00,Noruega v Francia – Grupo I - Estadio Boston
Viernes,15:00,Viernes,16:00,Senegal v Irak – Grupo I - Estadio Toronto
Viernes,20:00,Viernes,21:00,Cabo Verde v Arabia Saudí – Grupo H - Estadio Houston
Viernes,20:00,Viernes,21:00,Uruguay v España – Grupo H - Estadio Guadalajara
Viernes,23:00,Sábado,00:00,Egipto v Irán – Grupo G - Estadio Seattle
Viernes,23:00,Sábado,00:00,Nueva Zelanda v Bélgica – Grupo G - Estadio BC Place Vancouver
Sábado,17:00,Sábado,18:00,Panamá v Inglaterra – Grupo L - Estadio Nueva York Nueva Jersey
Sábado,17:00,Sábado,18:00,Croacia v Ghana – Grupo L - Estadio Filadelfia
Sábado,19:30,Sábado,20:30,Colombia v Portugal – Grupo K - Estadio Miami
Sábado,19:30,Sábado,20:30,RD Congo v Uzbekistán – Grupo K - Estadio Atlanta
Sábado,22:00,Sábado,23:00,Argelia v Austria – Grupo J - Estadio Kansas City
Sábado,22:00,Sábado,23:00,Jordania v Argentina – Grupo J - Estadio Dallas
